	(Intercept)	x.c.V8	x.c.V10	x.c.V11	x.c.V13	x.c.V5	x.c.V7	x.c.V12	x.c.V6	I(x.c.V8^2)	I(x.c.V10^2)	I(x.c.V11^2)	I(x.c.V13^2)	I(x.c.V5^2)	I(x.c.V7^2)	I(x.c.V12^2)	I(x.c.V6^2)	x.c.V8:x.c.V10	x.c.V8:x.c.V11	x.c.V8:x.c.V13	x.c.V8:x.c.V5	x.c.V8:x.c.V7	x.c.V8:x.c.V12	x.c.V8:x.c.V6	x.c.V10:x.c.V11	x.c.V10:x.c.V13	x.c.V10:x.c.V5	x.c.V10:x.c.V7	x.c.V10:x.c.V12	x.c.V10:x.c.V6	x.c.V11:x.c.V13	x.c.V11:x.c.V5	x.c.V11:x.c.V7	x.c.V11:x.c.V12	x.c.V11:x.c.V6	x.c.V13:x.c.V5	x.c.V13:x.c.V7	x.c.V13:x.c.V12	x.c.V13:x.c.V6	x.c.V5:x.c.V7	x.c.V5:x.c.V12	x.c.V5:x.c.V6	x.c.V7:x.c.V12	x.c.V7:x.c.V6	x.c.V12:x.c.V6
13	1	51	492	-44	40	5760	33	64.58	6	2601	242064	1936	1600	33177600	1089	41.705.764	36	25092	-2244	2040	293760	1683	3293.58	306	-21648	19680	2833920	16236	31773.36	2952	-1760	-253440	-1452	-2841.52	-264	230400	1320	2583.2	240	190080	371980.8	34560	2131.14	198	387.48
14	1	54	5000	-44	200	5780	19	56.3	6	2916	2.5e+07	1936	40000	33408400	361	3169.69	36	270000	-2376	10800	312120	1026	3040.2	324	-220000	1,00E+06	28900000	95000	281500	30000	-8800	-254320	-836	-2477.2	-264	1156000	3800	11260	1200	109820	325414	34680	1069.7	114	337.8
15	1	58	1249	-53	250	5830	19	75.74	3	3364	1560001	2809	62500	33988900	361	57.365.476	9	72442	-3074	14500	338140	1102	4392.92	174	-66197	312250	7281670	23731	94599.26	3747	-13250	-308990	-1007	-4014.22	-159	1457500	4750	18935	750	110770	441564.2	17490	1439.06	57	227.22
16	1	61	5000	-67	200	5870	19	65.48	2	3721	2.5e+07	4489	40000	34456900	361	42.876.304	4	305000	-4087	12200	358070	1159	3994.28	122	-335000	1,00E+06	29350000	95000	327400	10000	-13400	-393290	-1273	-4387.16	-134	1174000	3800	13096	400	111530	384367.6	11740	1244.12	38	130.96
17	1	64	5000	-40	200	5840	19	63.32	5	4096	2.5e+07	1600	40000	34105600	361	40.094.224	25	320000	-2560	12800	373760	1216	4052.48	320	-2,00E+05	1,00E+06	29200000	95000	316600	25000	-8000	-233600	-760	-2532.8	-200	1168000	3800	12664	1000	110960	369788.8	29200	1203.08	95	316.6
18	1	67	639	1	150	5780	59	66.02	4	4489	408321	1	22500	33408400	3481	43.586.404	16	42813	67	10050	387260	3953	4423.34	268	639	95850	3693420	37701	42186.78	2556	150	5780	59	66.02	4	867000	8850	9903	600	341020	381595.6	23120	3895.18	236	264.08
19	1	52	393	-68	10	5680	73	69.8	5	2704	154449	4624	100	32262400	5329	4872.04	25	20436	-3536	520	295360	3796	3629.6	260	-26724	3930	2232240	28689	27431.4	1965	-680	-386240	-4964	-4746.4	-340	56800	730	698	50	414640	396464	28400	5095.4	365	349
20	1	54	5000	-66	140	5720	19	54.68	4	2916	2.5e+07	4356	19600	32718400	361	29.899.024	16	270000	-3564	7560	308880	1026	2952.72	216	-330000	7,00E+05	28600000	95000	273400	20000	-9240	-377520	-1254	-3608.88	-264	800800	2660	7655.2	560	108680	312769.6	22880	1038.92	76	218.72
21	1	54	5000	-58	250	5760	19	51.98	3	2916	2.5e+07	3364	62500	33177600	361	27.019.204	9	270000	-3132	13500	311040	1026	2806.92	162	-290000	1250000	28800000	95000	259900	15000	-14500	-334080	-1102	-3014.84	-174	1440000	4750	12995	750	109440	299404.8	17280	987.62	57	155.94
22	1	58	5000	-26	200	5730	26	51.98	4	3364	2.5e+07	676	40000	32832900	676	27.019.204	16	290000	-1508	11600	332340	1508	3014.84	232	-130000	1,00E+06	28650000	130000	259900	20000	-5200	-148980	-676	-1351.48	-104	1146000	5200	10396	800	148980	297845.4	22920	1351.48	104	207.92
23	1	69	3044	18	150	5700	59	52.88	5	4761	9265936	324	22500	32490000	3481	27.962.944	25	210036	1242	10350	393300	4071	3648.72	345	54792	456600	17350800	179596	160966.72	15220	2700	102600	1062	951.84	90	855000	8850	7932	750	336300	301416	28500	3119.92	295	264.4
24	1	51	3641	23	140	5650	70	47.66	5	2601	13256881	529	19600	31922500	4900	22.714.756	25	185691	1173	7140	288150	3570	2430.66	255	83743	509740	20571650	254870	173530.06	18205	3220	129950	1610	1096.18	115	791000	9800	6672.4	700	395500	269279	28250	3336.2	350	238.3
25	1	53	111	-10	50	5680	64	59.54	3	2809	12321	100	2500	32262400	4096	35.450.116	9	5883	-530	2650	301040	3392	3155.62	159	-1110	5550	630480	7104	6608.94	333	-500	-56800	-640	-595.4	-30	284000	3200	2977	150	363520	338187.2	17040	3810.56	192	178.62
27	1	59	597	-52	70	5820	19	70.52	5	3481	356409	2704	4900	33872400	361	49.730.704	25	35223	-3068	4130	343380	1121	4160.68	295	-31044	41790	3474540	11343	42100.44	2985	-3640	-302640	-988	-3667.04	-260	407400	1330	4936.4	350	110580	410426.4	29100	1339.88	95	352.6
29	1	64	1791	-15	150	5810	19	64.76	5	4096	3207681	225	22500	33756100	361	41.938.576	25	114624	-960	9600	371840	1216	4144.64	320	-26865	268650	10405710	34029	115985.16	8955	-2250	-87150	-285	-971.4	-75	871500	2850	9714	750	110390	376255.6	29050	1230.44	95	323.8
30	1	63	793	-15	120	5790	28	65.84	3	3969	628849	225	14400	33524100	784	43.349.056	9	49959	-945	7560	364770	1764	4147.92	189	-11895	95160	4591470	22204	52211.12	2379	-1800	-86850	-420	-987.6	-45	694800	3360	7900.8	360	162120	381213.6	17370	1843.52	84	197.52
31	1	63	531	-38	40	5800	32	75.92	2	3969	281961	1444	1600	33640000	1024	57.638.464	4	33453	-2394	2520	365400	2016	4782.96	126	-20178	21240	3079800	16992	40313.52	1062	-1520	-220400	-1216	-2884.96	-76	232000	1280	3036.8	80	185600	440336	11600	2429.44	64	151.84
32	1	62	419	-29	120	5820	19	75.74	5	3844	175561	841	14400	33872400	361	57.365.476	25	25978	-1798	7440	360840	1178	4695.88	310	-12151	50280	2438580	7961	31735.06	2095	-3480	-168780	-551	-2196.46	-145	698400	2280	9088.8	600	110580	440806.8	29100	1439.06	95	378.7
33	1	63	816	-7	6	5770	76	66.2	8	3969	665856	49	36	33292900	5776	4382.44	64	51408	-441	378	363510	4788	4170.6	504	-5712	4896	4708320	62016	54019.2	6528	-42	-40390	-532	-463.4	-56	34620	456	397.2	48	438520	381974	46160	5031.2	608	529.6
34	1	54	3651	62	30	5670	69	49.1	3	2916	13329801	3844	900	32148900	4761	2410.81	9	197154	3348	1620	306180	3726	2651.4	162	226362	109530	20701170	251919	179264.1	10953	1860	351540	4278	3044.2	186	170100	2070	1473	90	391230	278397	17010	3387.9	207	147.3
35	1	36	5000	70	100	5590	76	37.94	3	1296	2.5e+07	4900	10000	31248100	5776	14.394.436	9	180000	2520	3600	201240	2736	1365.84	108	350000	5,00E+05	27950000	380000	189700	15000	7000	391300	5320	2655.8	210	559000	7600	3794	300	424840	212084.6	16770	2883.44	228	113.82
36	1	31	5000	28	200	5410	64	32.36	6	961	2.5e+07	784	40000	29268100	4096	10.471.696	36	155000	868	6200	167710	1984	1003.16	186	140000	1,00E+06	27050000	320000	161800	30000	5600	151480	1792	906.08	168	1082000	12800	6472	1200	346240	175067.6	32460	2071.04	384	194.16
37	1	30	1341	18	60	5350	62	45.86	7	900	1798281	324	3600	28622500	3844	21.031.396	49	40230	540	1800	160500	1860	1375.8	210	24138	80460	7174350	83142	61498.26	9387	1080	96300	1116	825.48	126	321000	3720	2751.6	420	331700	245351	37450	2843.32	434	321.02
38	1	36	5000	0	350	5480	72	38.66	9	1296	2.5e+07	0	122500	30030400	5184	14.945.956	81	180000	0	12600	197280	2592	1391.76	324	0	1750000	27400000	360000	193300	45000	0	0	0	0	0	1918000	25200	13531	3150	394560	211856.8	49320	2783.52	648	347.94
39	1	42	3799	-18	250	5600	76	45.86	7	1764	14432401	324	62500	31360000	5776	21.031.396	49	159558	-756	10500	235200	3192	1926.12	294	-68382	949750	21274400	288724	174222.14	26593	-4500	-100800	-1368	-825.48	-126	1400000	19000	11465	1750	425600	256816	39200	3485.36	532	321.02
40	1	37	5000	32	350	5490	72	38.12	11	1369	2.5e+07	1024	122500	30140100	5184	14.531.344	121	185000	1184	12950	203130	2664	1410.44	407	160000	1750000	27450000	360000	190600	55000	11200	175680	2304	1219.84	352	1921500	25200	13342	3850	395280	209278.8	60390	2744.64	792	419.32
41	1	41	5000	-1	300	5560	72	37.58	10	1681	2.5e+07	1	90000	30913600	5184	14.122.564	100	205000	-41	12300	227960	2952	1540.78	410	-5000	1500000	27800000	360000	187900	50000	-300	-5560	-72	-37.58	-10	1668000	21600	11274	3000	400320	208944.8	55600	2705.76	720	375.8
42	1	46	5000	-30	300	5700	32	45.86	3	2116	2.5e+07	900	90000	32490000	1024	21.031.396	9	230000	-1380	13800	262200	1472	2109.56	138	-150000	1500000	28500000	160000	229300	15000	-9000	-171000	-960	-1375.8	-90	1710000	9600	13758	900	182400	261402	17100	1467.52	96	137.58
43	1	51	5000	-8	300	5680	50	45.5	5	2601	2.5e+07	64	90000	32262400	2500	2070.25	25	255000	-408	15300	289680	2550	2320.5	255	-40000	1500000	28400000	250000	227500	25000	-2400	-45440	-400	-364	-40	1704000	15000	13650	1500	284000	258440	28400	2275	250	227.5
44	1	55	2398	21	200	5700	86	53.78	4	3025	5750404	441	40000	32490000	7396	28.922.884	16	131890	1155	11000	313500	4730	2957.9	220	50358	479600	13668600	206228	128964.44	9592	4200	119700	1806	1129.38	84	1140000	17200	10756	800	490200	306546	22800	4625.08	344	215.12
45	1	41	5000	51	100	5650	61	36.32	5	1681	2.5e+07	2601	10000	31922500	3721	13.191.424	25	205000	2091	4100	231650	2501	1489.12	205	255000	5,00E+05	28250000	305000	181600	25000	5100	288150	3111	1852.32	255	565000	6100	3632	500	344650	205208	28250	2215.52	305	181.6
46	1	41	4281	42	250	5610	62	41.36	5	1681	18326961	1764	62500	31472100	3844	17.106.496	25	175521	1722	10250	230010	2542	1695.76	205	179802	1070250	24016410	265422	177062.16	21405	10500	235620	2604	1737.12	210	1402500	15500	10340	1250	347820	232029.6	28050	2564.32	310	206.8
47	1	49	1161	27	200	5730	66	52.88	5	2401	1347921	729	40000	32832900	4356	27.962.944	25	56889	1323	9800	280770	3234	2591.12	245	31347	232200	6652530	76626	61393.68	5805	5400	154710	1782	1427.76	135	1146000	13200	10576	1000	378180	303002.4	28650	3490.08	330	264.4
48	1	45	2778	2	200	5770	68	55.76	5	2025	7717284	4	40000	33292900	4624	31.091.776	25	125010	90	9000	259650	3060	2509.2	225	5556	555600	16029060	188904	154901.28	13890	400	11540	136	111.52	10	1154000	13600	11152	1000	392360	321735.2	28850	3791.68	340	278.8
49	1	55	442	26	40	5770	82	58.28	3	3025	195364	676	1600	33292900	6724	33.965.584	9	24310	1430	2200	317350	4510	3205.4	165	11492	17680	2550340	36244	25759.76	1326	1040	150020	2132	1515.28	78	230800	3280	2331.2	120	473140	336275.6	17310	4778.96	246	174.84
51	1	41	5000	-30	300	5690	21	42.26	8	1681	2.5e+07	900	90000	32376100	441	17.859.076	64	205000	-1230	12300	233290	861	1732.66	328	-150000	1500000	28450000	105000	211300	40000	-9000	-170700	-630	-1267.8	-240	1707000	6300	12678	2400	119490	240459.4	45520	887.46	168	338.08
52	1	45	5000	-53	300	5700	19	43.88	3	2025	2.5e+07	2809	90000	32490000	361	19.254.544	9	225000	-2385	13500	256500	855	1974.6	135	-265000	1500000	28500000	95000	219400	15000	-15900	-302100	-1007	-2325.64	-159	1710000	5700	13164	900	108300	250116	17100	833.72	57	131.64
53	1	51	5000	-43	300	5730	19	49.1	11	2601	2.5e+07	1849	90000	32832900	361	2410.81	121	255000	-2193	15300	292230	969	2504.1	561	-215000	1500000	28650000	95000	245500	55000	-12900	-246390	-817	-2111.3	-473	1719000	5700	14730	3300	108870	281343	63030	932.9	209	540.1
54	1	53	5000	7	300	5690	19	49.1	7	2809	2.5e+07	49	90000	32376100	361	2410.81	49	265000	371	15900	301570	1007	2602.3	371	35000	1500000	28450000	95000	245500	35000	2100	39830	133	343.7	49	1707000	5700	14730	2100	108110	279379	39830	932.9	133	343.7
55	1	50	5000	24	300	5640	68	42.08	5	2500	2.5e+07	576	90000	31809600	4624	17.707.264	25	250000	1200	15000	282000	3400	2104	250	120000	1500000	28200000	340000	210400	25000	7200	135360	1632	1009.92	120	1692000	20400	12624	1500	383520	237331.2	28200	2861.44	340	210.4
56	1	60	1341	19	150	5720	63	59.18	6	3600	1798281	361	22500	32718400	3969	35.022.724	36	80460	1140	9000	343200	3780	3550.8	360	25479	201150	7670520	84483	79360.38	8046	2850	108680	1197	1124.42	114	858000	9450	8877	900	360360	338509.6	34320	3728.34	378	355.08
57	1	54	1318	2	150	5740	54	64.58	3	2916	1737124	4	22500	32947600	2916	41.705.764	9	71172	108	8100	309960	2916	3487.32	162	2636	197700	7565320	71172	85116.44	3954	300	11480	108	129.16	6	861000	8100	9687	450	309960	370689.2	17220	3487.32	162	193.74
58	1	53	885	-4	80	5740	47	67.1	3	2809	783225	16	6400	32947600	2209	4502.41	9	46905	-212	4240	304220	2491	3556.3	159	-3540	70800	5079900	41595	59383.5	2655	-320	-22960	-188	-268.4	-12	459200	3760	5368	240	269780	385154	17220	3153.7	141	201.3
59	1	53	360	3	40	5740	56	67.1	3	2809	129600	9	1600	32947600	3136	4502.41	9	19080	159	2120	304220	2968	3556.3	159	1080	14400	2066400	20160	24156	1080	120	17220	168	201.3	9	229600	2240	2684	120	321440	385154	17220	3757.6	168	201.3
60	1	44	3497	73	40	5670	61	49.46	7	1936	12229009	5329	1600	32148900	3721	24.462.916	49	153868	3212	1760	249480	2684	2176.24	308	255281	139880	19827990	213317	172961.62	24479	2920	413910	4453	3610.58	511	226800	2440	1978.4	280	345870	280438.2	39690	3017.06	427	346.22
61	1	40	5000	73	80	5550	74	40.1	10	1600	2.5e+07	5329	6400	30802500	5476	1608.01	100	2,00E+05	2920	3200	222000	2960	1604	400	365000	4,00E+05	27750000	370000	200500	50000	5840	405150	5402	2927.3	730	444000	5920	3208	800	410700	222555	55500	2967.4	740	401
62	1	30	5000	44	300	5470	46	29.3	7	900	2.5e+07	1936	90000	29920900	2116	858.49	49	150000	1320	9000	164100	1380	879	210	220000	1500000	27350000	230000	146500	35000	13200	240680	2024	1289.2	308	1641000	13800	8790	2100	251620	160271	38290	1347.8	322	205.1
63	1	25	5000	39	200	5320	45	27.5	11	625	2.5e+07	1521	40000	28302400	2025	756.25	121	125000	975	5000	133000	1125	687.5	275	195000	1,00E+06	26600000	225000	137500	55000	7800	207480	1755	1072.5	429	1064000	9000	5500	2200	239400	146300	58520	1237.5	495	302.5
65	1	40	5000	-12	140	5530	43	33.62	3	1600	2.5e+07	144	19600	30580900	1849	11.303.044	9	2,00E+05	-480	5600	221200	1720	1344.8	120	-60000	7,00E+05	27650000	215000	168100	15000	-1680	-66360	-516	-403.44	-36	774200	6020	4706.8	420	237790	185918.6	16590	1445.66	129	100.86
66	1	45	5000	-2	140	5600	21	39.02	3	2025	2.5e+07	4	19600	31360000	441	15.225.604	9	225000	-90	6300	252000	945	1755.9	135	-10000	7,00E+05	2.8e+07	105000	195100	15000	-280	-11200	-42	-78.04	-6	784000	2940	5462.8	420	117600	218512	16800	819.42	63	117.06
67	1	51	5000	30	140	5660	57	42.08	7	2601	2.5e+07	900	19600	32035600	3249	17.707.264	49	255000	1530	7140	288660	2907	2146.08	357	150000	7,00E+05	28300000	285000	210400	35000	4200	169800	1710	1262.4	210	792400	7980	5891.2	980	322620	238172.8	39620	2398.56	399	294.56
68	1	48	3608	24	100	5580	42	39.38	5	2304	13017664	576	10000	31136400	1764	15.507.844	25	173184	1152	4800	267840	2016	1890.24	240	86592	360800	20132640	151536	142083.04	18040	2400	133920	1008	945.12	120	558000	4200	3938	500	234360	219740.4	27900	1653.96	210	196.9
69	1	45	5000	38	140	5510	50	32.9	5	2025	2.5e+07	1444	19600	30360100	2500	1082.41	25	225000	1710	6300	247950	2250	1480.5	225	190000	7,00E+05	27550000	250000	164500	25000	5320	209380	1900	1250.2	190	771400	7000	4606	700	275500	181279	27550	1645	250	164.5
70	1	47	5000	56	200	5530	61	35.6	5	2209	2.5e+07	3136	40000	30580900	3721	1267.36	25	235000	2632	9400	259910	2867	1673.2	235	280000	1,00E+06	27650000	305000	178000	25000	11200	309680	3416	1993.6	280	1106000	12200	7120	1000	337330	196868	27650	2171.6	305	178
71	1	43	5000	66	120	5620	61	34.34	9	1849	2.5e+07	4356	14400	31584400	3721	11.792.356	81	215000	2838	5160	241660	2623	1476.62	387	330000	6,00E+05	28100000	305000	171700	45000	7920	370920	4026	2266.44	594	674400	7320	4120.8	1080	342820	192990.8	50580	2094.74	549	309.06
72	1	49	613	-27	300	5690	60	59.72	0	2401	375769	729	90000	32376100	3600	35.664.784	0	30037	-1323	14700	278810	2940	2926.28	0	-16551	183900	3487970	36780	36608.36	0	-8100	-153630	-1620	-1612.44	0	1707000	18000	17916	0	341400	339806.8	0	3583.2	0	0
73	1	56	334	-9	300	5760	31	64.4	4	3136	111556	81	90000	33177600	961	4147.36	16	18704	-504	16800	322560	1736	3606.4	224	-3006	100200	1923840	10354	21509.6	1336	-2700	-51840	-279	-579.6	-36	1728000	9300	19320	1200	178560	370944	23040	1996.4	124	257.6
74	1	53	567	13	150	5740	66	61.88	3	2809	321489	169	22500	32947600	4356	38.291.344	9	30051	689	7950	304220	3498	3279.64	159	7371	85050	3254580	37422	35085.96	1701	1950	74620	858	804.44	39	861000	9900	9282	450	378840	355191.2	17220	4084.08	198	185.64
75	1	61	488	-20	2	5780	53	64.94	5	3721	238144	400	4	33408400	2809	42.172.036	25	29768	-1220	122	352580	3233	3961.34	305	-9760	976	2820640	25864	31690.72	2440	-40	-115600	-1060	-1298.8	-100	11560	106	129.88	10	306340	375353.2	28900	3441.82	265	324.7
76	1	63	531	-15	50	5790	42	71.06	2	3969	281961	225	2500	33524100	1764	50.495.236	4	33453	-945	3150	364770	2646	4476.78	126	-7965	26550	3074490	22302	37732.86	1062	-750	-86850	-630	-1065.9	-30	289500	2100	3553	100	243180	411437.4	11580	2984.52	84	142.12
77	1	70	508	7	70	5760	60	66.56	3	4900	258064	49	4900	33177600	3600	44.302.336	9	35560	490	4900	403200	4200	4659.2	210	3556	35560	2926080	30480	33812.48	1524	490	40320	420	465.92	21	403200	4200	4659.2	210	345600	383385.6	17280	3993.6	180	199.68
78	1	57	1571	68	17	5700	82	56.3	4	3249	2468041	4624	289	32490000	6724	3169.69	16	89547	3876	969	324900	4674	3209.1	228	106828	26707	8954700	128822	88447.3	6284	1156	387600	5576	3828.4	272	96900	1394	957.1	68	467400	320910	22800	4616.6	328	225.2
79	1	35	721	28	140	5680	57	55.4	4	1225	519841	784	19600	32262400	3249	3069.16	16	25235	980	4900	198800	1995	1939	140	20188	100940	4095280	41097	39943.4	2884	3920	159040	1596	1551.2	112	795200	7980	7756	560	323760	314672	22720	3157.8	228	221.6
80	1	52	505	-49	140	5720	21	67.28	5	2704	255025	2401	19600	32718400	441	45.265.984	25	26260	-2548	7280	297440	1092	3498.56	260	-24745	70700	2888600	10605	33976.4	2525	-6860	-280280	-1029	-3296.72	-245	800800	2940	9419.2	700	120120	384841.6	28600	1412.88	105	336.4
81	1	59	377	-27	300	5720	19	73.22	5	3481	142129	729	90000	32718400	361	53.611.684	25	22243	-1593	17700	337480	1121	4319.98	295	-10179	113100	2156440	7163	27603.94	1885	-8100	-154440	-513	-1976.94	-135	1716000	5700	21966	1500	108680	418818.4	28600	1391.18	95	366.1
82	1	67	442	-9	200	5730	32	75.74	4	4489	195364	81	40000	32832900	1024	57.365.476	16	29614	-603	13400	383910	2144	5074.58	268	-3978	88400	2532660	14144	33477.08	1768	-1800	-51570	-288	-681.66	-36	1146000	6400	15148	800	183360	433990.2	22920	2423.68	128	302.96
83	1	57	902	54	250	5710	77	60.44	5	3249	813604	2916	62500	32604100	5929	36.529.936	25	51414	3078	14250	325470	4389	3445.08	285	48708	225500	5150420	69454	54516.88	4510	13500	308340	4158	3263.76	270	1427500	19250	15110	1250	439670	345112.4	28550	4653.88	385	302.2
85	1	42	1381	4	60	5720	71	56.3	4	1764	1907161	16	3600	32718400	5041	3169.69	16	58002	168	2520	240240	2982	2364.6	168	5524	82860	7899320	98051	77750.3	5524	240	22880	284	225.2	16	343200	4260	3378	240	406120	322036	22880	3997.3	284	225.2
86	1	55	5000	-16	100	5710	19	50	3	3025	2.5e+07	256	10000	32604100	361	2500	9	275000	-880	5500	314050	1045	2750	165	-80000	5,00E+05	28550000	95000	250000	15000	-1600	-91360	-304	-800	-48	571000	1900	5000	300	108490	285500	17130	950	57	150
87	1	40	5000	38	150	5600	45	46.94	6	1600	2.5e+07	1444	22500	31360000	2025	22.033.636	36	2,00E+05	1520	6000	224000	1800	1877.6	240	190000	750000	2.8e+07	225000	234700	30000	5700	212800	1710	1783.72	228	840000	6750	7041	900	252000	262864	33600	2112.3	270	281.64
88	1	39	1302	40	150	5630	44	52.7	4	1521	1695204	1600	22500	31696900	1936	2777.29	16	50778	1560	5850	219570	1716	2055.3	156	52080	195300	7330260	57288	68615.4	5208	6000	225200	1760	2108	160	844500	6600	7905	600	247720	296701	22520	2318.8	176	210.8
89	1	57	1292	-5	200	5690	70	53.6	7	3249	1669264	25	40000	32376100	4900	2872.96	49	73644	-285	11400	324330	3990	3055.2	399	-6460	258400	7351480	90440	69251.2	9044	-1000	-28450	-350	-268	-35	1138000	14000	10720	1400	398300	304984	39830	3752	490	375.2
90	1	58	5000	-14	100	5730	45	52.7	6	3364	2.5e+07	196	10000	32832900	2025	2777.29	36	290000	-812	5800	332340	2610	3056.6	348	-70000	5,00E+05	28650000	225000	263500	30000	-1400	-80220	-630	-737.8	-84	573000	4500	5270	600	257850	301971	34380	2371.5	270	316.2
91	1	62	472	34	300	5710	46	62.96	3	3844	222784	1156	90000	32604100	2116	39.639.616	9	29264	2108	18600	354020	2852	3903.52	186	16048	141600	2695120	21712	29717.12	1416	10200	194140	1564	2140.64	102	1713000	13800	18888	900	262660	359501.6	17130	2896.16	138	188.88
92	1	51	1404	42	120	5610	50	54.5	6	2601	1971216	1764	14400	31472100	2500	2970.25	36	71604	2142	6120	286110	2550	2779.5	306	58968	168480	7876440	70200	76518	8424	5040	235620	2100	2289	252	673200	6000	6540	720	280500	305745	33660	2725	300	327
93	1	61	944	35	100	5680	69	55.76	5	3721	891136	1225	10000	32262400	4761	31.091.776	25	57584	2135	6100	346480	4209	3401.36	305	33040	94400	5361920	65136	52637.44	4720	3500	198800	2415	1951.6	175	568000	6900	5576	500	391920	316716.8	28400	3847.44	345	278.8
94	1	34	5000	75	200	5620	67	35.24	6	1156	2.5e+07	5625	40000	31584400	4489	12.418.576	36	170000	2550	6800	191080	2278	1198.16	204	375000	1,00E+06	28100000	335000	176200	30000	15000	421500	5025	2643	450	1124000	13400	7048	1200	376540	198048.8	33720	2361.08	402	211.44
95	1	35	5000	41	200	5420	69	30.92	7	1225	2.5e+07	1681	40000	29376400	4761	9.560.464	49	175000	1435	7000	189700	2415	1082.2	245	205000	1,00E+06	27100000	345000	154600	35000	8200	222220	2829	1267.72	287	1084000	13800	6184	1400	373980	167586.4	37940	2133.48	483	216.44
